viewDate,areaMunKm,areaUcKm,uc,uf,municipio
15/12/2019,0.38,0,,PA,Sao Felix do Xingu
15/12/2019,0.08,0,,PA,Sao Felix do Xingu
15/12/2019,0.12,0,,PA,Sao Felix do Xingu
15/12/2019,0.14,0,,PA,Sao Felix do Xingu
15/12/2019,0.37,0,,PA,Senador Jose Porfirio
15/12/2019,0.09,0,,PA,Senador Jose Porfirio
15/12/2019,0.09,0,,PA,Senador Jose Porfirio
15/12/2019,0.17,0,,PA,Senador Jose Porfirio
15/12/2019,0.07,0,,PA,Senador Jose Porfirio
15/12/2019,0.07,0,,PA,Senador Jose Porfirio
15/12/2019,0.13,0,,PA,Senador Jose Porfirio
15/12/2019,0.07,0,,PA,Sao Felix do Xingu
15/12/2019,0.09,0,,PA,Sao Felix do Xingu
15/12/2019,0.11,0,,PA,Sao Felix do Xingu
15/12/2019,0.23,0,,PA,Sao Felix do Xingu
15/12/2019,0.06,0,,PA,Ourilandia do Norte
15/12/2019,0.06,0,,PA,Pacaja
15/12/2019,0.19,0,,PA,Pacaja
15/12/2019,0.07,0,,PA,Pacaja
15/12/2019,0.26,0,,PA,Sao Felix do Xingu
15/12/2019,0.07,0,,PA,Sao Felix do Xingu
15/12/2019,0.18,0,,PA,Sao Felix do Xingu
15/12/2019,0.13,0,,PA,Novo Repartimento
15/12/2019,0.11,0,,PA,Novo Repartimento
15/12/2019,0.1,0,,PA,Novo Repartimento
15/12/2019,0.07,0,,PA,Rondon do Para
15/12/2019,0.17,0,,PA,Novo Repartimento
15/12/2019,0.06,0,,PA,Novo Repartimento
15/12/2019,0.15,0,,PA,Paragominas
15/12/2019,0.07,0,,PA,Novo Repartimento
15/12/2019,0.07,0,,PA,Novo Repartimento
15/12/2019,0.17,0,,PA,Novo Repartimento
15/12/2019,0.1,0,,PA,Novo Repartimento
15/12/2019,0.1,0,,PA,Novo Repartimento
15/12/2019,0.09,0,,MA,Bom Jardim
15/12/2019,0.08,0,,PA,Cachoeira do Piria
15/12/2019,0.21,0,,PA,Cachoeira do Piria
15/12/2019,0.19,0,,MA,Santa Luzia
15/12/2019,0.12,0,,PA,Viseu
15/12/2019,0.07,0,,MA,Monçao
15/12/2019,0.08,0,,MA,Penalva
15/12/2019,0.07,0,,MA,Penalva
15/12/2019,0.06,0,,MA,Monçao
15/12/2019,0.06,0,,MA,Monçao
15/12/2019,0.78,0,,MT,Santa Carmem
15/12/2019,0.09,0,,MT,Claudia
15/12/2019,1.67,0,,MT,Claudia
15/12/2019,0.4,0,,MT,Uniao do Sul
15/12/2019,1.42,0,,MT,Uniao do Sul
15/12/2019,0.18,0,,MT,Claudia
15/12/2019,0.62,0,,MT,Uniao do Sul
15/12/2019,0.85,0,,MT,Uniao do Sul
15/12/2019,0.34,0,,MT,Uniao do Sul
15/12/2019,0.13,0,,MT,Uniao do Sul
15/12/2019,0.18,0,,MT,Nova Santa Helena
15/12/2019,0.11,0,,MT,Claudia
15/12/2019,0.14,0,,MT,Uniao do Sul
15/12/2019,0.06,0,,MT,Marcelandia
15/12/2019,0.06,0,,TO,Bernardo Sayao
15/12/2019,0.57,0,,MT,Marcelandia
15/12/2019,0.16,0,,MT,Marcelandia
15/12/2019,0.13,0,,MT,Terra Nova do Norte
15/12/2019,0.03,0,,MT,Terra Nova do Norte
